CPU: Intel Architectural Perfmon, speed 2666.84 MHz (estimated)
Counted CPU_CLK_UNHALTED events (Clock cycles when not halted) with a unit mask of 0x00 (No unit mask) count 100000
samples  %        app name                 symbol name
35        0.0035  vmlinux                  net_rps_action_and_irq_enable.clone.36
35        0.0035  vmlinux                  profile_tick
34        0.0034  xen-syms                 _spin_unlock
33        0.0033  vmlinux                  ring_buffer_unlock_commit
33        0.0033  vmlinux                  tick_sched_timer
33        0.0033  vmlinux                  xen_adjust_exception_frame
32        0.0032  oprofile                 op_add_sample.clone.5
32        0.0032  xen-syms                 _csched_cpu_pick.clone.1
32        0.0032  xen-syms                 time_calibration_std_rendezvous
31        0.0031  xen-syms                 vcpu_mark_events_pending
30        0.0030  vmlinux                  sched_clock_tick
30        0.0030  xen-syms                 raise_softirq
29        0.0029  vmlinux                  hrtimer_run_queues
29        0.0029  vmlinux                  irq_enter
29        0.0029  vmlinux                  tick_dev_program_event
29        0.0029  vmlinux                  update_cpu_load
28        0.0028  vmlinux                  do_softirq
28        0.0028  vmlinux                  sched_clock_local
27        0.0027  vmlinux                  restore_args
26        0.0026  vmlinux                  irq_exit
25        0.0025  vmlinux                  sched_clock_cpu
25        0.0025  vmlinux                  spin_unlock_irq
25        0.0025  vmlinux                  trace_recursive_unlock
24        0.0024  vmlinux                  ack_dynirq
24        0.0024  vmlinux                  iter_div_u64_rem
24        0.0024  vmlinux                  rcu_irq_exit
24        0.0024  xen-syms                 ret_from_intr
23        0.0023  vmlinux                  ack_pirq
23        0.0023  vmlinux                  clockevents_program_event
23        0.0023  vmlinux                  update_rq_clock
23        0.0023  vmlinux                  xen_save_fl_direct_end
23        0.0023  xen-syms                 csched_schedule
22        0.0022  vmlinux                  debug_deactivate
21        0.0021  vmlinux                  compat_irq_ack
21        0.0021  vmlinux                  enqueue_hrtimer
20        0.0020  vmlinux                  arch_local_save_flags
20        0.0020  vmlinux                  cpu_needs_another_gp.clone.4
20        0.0020  vmlinux                  raise_softirq
19        0.0019  vmlinux                  account_process_tick
19        0.0019  vmlinux                  arch_local_irq_save
19        0.0019  vmlinux                  move_masked_irq
19        0.0019  vmlinux                  radix_tree_lookup
19        0.0019  vmlinux                  update_process_times
19        0.0019  xen-syms                 csched_tick
18        0.0018  vmlinux                  acct_update_integrals
18        0.0018  vmlinux                  arch_local_save_flags
18        0.0018  vmlinux                  irq_to_desc
18        0.0018  vmlinux                  rb_update_write_stamp
18        0.0018  vmlinux                  update_min_vruntime
17        0.0017  vmlinux                  xen_irq_enable_direct_end
17        0.0017  xen-syms                 add_entry
17        0.0017  xen-syms                 radix_tree_lookup
17        0.0017  xen-syms                 up_heap
16        0.0016  oprofiled                sfile_log_sample
16        0.0016  vmlinux                  __remove_hrtimer
15        0.0015  vmlinux                  cpuacct_charge
15        0.0015  vmlinux                  do_timer
15        0.0015  vmlinux                  printk_tick
14        0.0014  vmlinux                  arch_local_irq_save
14        0.0014  vmlinux                  sched_clock
14        0.0014  vmlinux                  wakeup_softirqd
14        0.0014  xen-syms                 apic_timer_interrupt
13        0.0013  oprofile                 op_cpu_buffer_write_commit
13        0.0013  vmlinux                  compat_irq_mask
13        0.0013  vmlinux                  rcu_check_callbacks
13        0.0013  vmlinux                  run_local_timers
12        0.0012  vmlinux                  arch_local_irq_disable
12        0.0012  vmlinux                  tick_do_update_jiffies64
12        0.0012  vmlinux                  timekeeping_get_ns
12        0.0012  vmlinux                  xen_clocksource_get_cycles
12        0.0012  vmlinux                  xen_irq_disable_direct_end
11        0.0011  vmlinux                  account_group_exec_runtime
11        0.0011  vmlinux                  find_next_bit
11        0.0011  vmlinux                  mix_pool_bytes_extract
11        0.0011  vmlinux                  rb_set_head_page
11        0.0011  vmlinux                  xennet_poll
11        0.0011  xen-syms                 __bitmap_and
10        0.0010  vmlinux                  hrtimer_run_pending
10        0.0010  vmlinux                  retint_restore_args
10        0.0010  xen-syms                 vcpu_kick
9        9.0e-04  vmlinux                  arch_local_save_flags
9        9.0e-04  vmlinux                  call_softirq
9        9.0e-04  vmlinux                  find_busiest_group
9        9.0e-04  vmlinux                  move_native_irq
9        9.0e-04  vmlinux                  schedule
9        9.0e-04  vmlinux                  tick_program_event
8        8.0e-04  libc-2.11.1.so           /lib/libc-2.11.1.so
8        8.0e-04  vmlinux                  rb_erase
8        8.0e-04  vmlinux                  resched_task
8        8.0e-04  vmlinux                  test_tsk_need_resched
8        8.0e-04  vmlinux                  xen_mc_flush
8        8.0e-04  xen-syms                 __bitmap_andnot
8        8.0e-04  xen-syms                 __bitmap_weight
8        8.0e-04  xen-syms                 __find_first_bit
8        8.0e-04  xen-syms                 move_native_irq
7        7.0e-04  vmlinux                  arch_local_save_flags
7        7.0e-04  vmlinux                  gnttab_end_foreign_access_ref
7        7.0e-04  vmlinux                  sched_slice.clone.88
7        7.0e-04  vmlinux                  xennet_interrupt
7        7.0e-04  xen-syms                 IRQ0xfc_interrupt
7        7.0e-04  xen-syms                 ack_nonmaskable_msi_irq
7        7.0e-04  xen-syms                 hvm_do_IRQ_dpci
7        7.0e-04  xen-syms                 vcpu_kick_softirq
6        6.0e-04  vmlinux                  _cond_resched
6        6.0e-04  vmlinux                  arch_local_irq_enable
6        6.0e-04  vmlinux                  calc_delta_mine
6        6.0e-04  vmlinux                  compat_irq_unmask
6        6.0e-04  vmlinux                  error_kernelspace
6        6.0e-04  vmlinux                  xen_vcpuop_set_next_event
6        6.0e-04  xen-syms                 restore_all_xen
6        6.0e-04  xen-syms                 schedule
5        5.0e-04  ixgbevf                  ixgbevf_update_stats
5        5.0e-04  vmlinux                  __ilog2_u64
5        5.0e-04  vmlinux                  __xen_mc_entry
5        5.0e-04  vmlinux                  enable_pirq
5        5.0e-04  vmlinux                  get_next_timer_interrupt
5        5.0e-04  vmlinux                  kmem_cache_alloc
5        5.0e-04  vmlinux                  select_task_rq_fair
5        5.0e-04  vmlinux                  tick_nohz_stop_sched_tick
5        5.0e-04  xen-syms                 _spin_unlock_irqrestore
5        5.0e-04  xen-syms                 get_measured_perf
4        4.0e-04  oprofiled                odb_grow_hashtable
4        4.0e-04  vmlinux                  __d_lookup
4        4.0e-04  vmlinux                  __switch_to
4        4.0e-04  vmlinux                  _raw_spin_lock_irq
4        4.0e-04  vmlinux                  account_steal_time
4        4.0e-04  vmlinux                  arch_local_irq_restore
4        4.0e-04  vmlinux                  atomic_cmpxchg
4        4.0e-04  vmlinux                  enqueue_entity
4        4.0e-04  vmlinux                  handle_fasteoi_irq
4        4.0e-04  vmlinux                  hrtimer_forward
4        4.0e-04  vmlinux                  ktime_add_safe
4        4.0e-04  vmlinux                  nf_iterate
4        4.0e-04  vmlinux                  process_one_work
4        4.0e-04  vmlinux                  run_ksoftirqd
4        4.0e-04  vmlinux                  trace_clock_local
4        4.0e-04  vmlinux                  udp_error
4        4.0e-04  vmlinux                  worker_set_flags
4        4.0e-04  xen-syms                 __find_next_bit
4        4.0e-04  xen-syms                 do_multicall
4        4.0e-04  xen-syms                 do_update_descriptor
4        4.0e-04  xen-syms                 iret_exit_to_guest
4        4.0e-04  xen-syms                 pirq_guest_eoi
3        3.0e-04  vmlinux                  __nf_conntrack_alloc
3        3.0e-04  vmlinux                  account_idle_time
3        3.0e-04  vmlinux                  account_steal_ticks
3        3.0e-04  vmlinux                  add_interrupt_randomness
3        3.0e-04  vmlinux                  add_timer_randomness
3        3.0e-04  vmlinux                  arch_local_irq_disable
3        3.0e-04  vmlinux                  arch_local_save_flags
3        3.0e-04  vmlinux                  calc_delta_fair
3        3.0e-04  vmlinux                  delayed_work_timer_fn
3        3.0e-04  vmlinux                  ext4_journal_start_sb
3        3.0e-04  vmlinux                  fib6_lookup
3        3.0e-04  vmlinux                  fib_table_lookup
3        3.0e-04  vmlinux                  handle_mm_fault
3        3.0e-04  vmlinux                  hrtick_update
3        3.0e-04  vmlinux                  ipv6_rcv
3        3.0e-04  vmlinux                  nf_conntrack_in
3        3.0e-04  vmlinux                  nf_nat_fn
3        3.0e-04  vmlinux                  nf_nat_setup_info
3        3.0e-04  vmlinux                  rb_move_tail.clone.22
3        3.0e-04  vmlinux                  rcu_sched_qs
3        3.0e-04  vmlinux                  remove_hrtimer
3        3.0e-04  vmlinux                  ring_buffer_entries_cpu
3        3.0e-04  vmlinux                  xen_end_context_switch
3        3.0e-04  vmlinux                  xen_mc_issue.clone.2
3        3.0e-04  xen-syms                 __get_page_type
3        3.0e-04  xen-syms                 __put_page_type
3        3.0e-04  xen-syms                 context_saved
3        3.0e-04  xen-syms                 page_fault
3        3.0e-04  xen-syms                 paging_mark_dirty
3        3.0e-04  xen-syms                 send_guest_vcpu_virq
3        3.0e-04  xen-syms                 send_timer_event
3        3.0e-04  xen-syms                 stop_timer
3        3.0e-04  xen-syms                 x86_emulate
2        2.0e-04  vmlinux                  NF_HOOK.clone.7
2        2.0e-04  vmlinux                  __current_kernel_time
2        2.0e-04  vmlinux                  __find_get_block
2        2.0e-04  vmlinux                  __local_bh_disable.clone.6
2        2.0e-04  vmlinux                  __local_bh_enable
2        2.0e-04  vmlinux                  __mnt_is_readonly
2        2.0e-04  vmlinux                  __napi_complete
2        2.0e-04  vmlinux                  __need_more_worker
2        2.0e-04  vmlinux                  __nf_ct_l4proto_find
2        2.0e-04  vmlinux                  __nf_ct_refresh_acct
2        2.0e-04  vmlinux                  __rcu_process_callbacks
2        2.0e-04  vmlinux                  __wake_up_bit
2        2.0e-04  vmlinux                  _atomic_dec_and_lock
2        2.0e-04  vmlinux                  _raw_spin_unlock_irqrestore
2        2.0e-04  vmlinux                  account_idle_ticks
2        2.0e-04  vmlinux                  addr_bit_set
2        2.0e-04  vmlinux                  arch_local_irq_enable
2        2.0e-04  vmlinux                  arch_local_irq_enable
2        2.0e-04  vmlinux                  arch_local_irq_save
2        2.0e-04  vmlinux                  atomic_inc
2        2.0e-04  vmlinux                  atomic_notifier_call_chain
2        2.0e-04  vmlinux                  blkif_interrupt
2        2.0e-04  vmlinux                  clear_buddies.clone.54
2        2.0e-04  vmlinux                  cpumask_next_and
2        2.0e-04  vmlinux                  current_kernel_time
2        2.0e-04  vmlinux                  dequeue_task
2        2.0e-04  vmlinux                  ext4_da_writepages
2        2.0e-04  vmlinux                  ext4_ext_map_blocks
2        2.0e-04  vmlinux                  ext4_reserve_inode_write
2        2.0e-04  vmlinux                  find_next_zero_bit
2        2.0e-04  vmlinux                  find_vma
2        2.0e-04  vmlinux                  get_free_entries
2        2.0e-04  vmlinux                  get_work_cwq
2        2.0e-04  vmlinux                  hrtick_start_fair
2        2.0e-04  vmlinux                  hrtimer_force_reprogram
2        2.0e-04  vmlinux                  hrtimer_try_to_cancel
2        2.0e-04  vmlinux                  init_timer_key
2        2.0e-04  vmlinux                  internal_add_timer
2        2.0e-04  vmlinux                  ip_route_input_common
2        2.0e-04  vmlinux                  ipt_do_table
2        2.0e-04  vmlinux                  iptable_mangle_hook
2        2.0e-04  vmlinux                  kill_fasync
2        2.0e-04  vmlinux                  load_TLS
2        2.0e-04  vmlinux                  load_balance
2        2.0e-04  vmlinux                  local_bh_enable
2        2.0e-04  vmlinux                  napi_schedule
2        2.0e-04  vmlinux                  nf_ip6_checksum
2        2.0e-04  vmlinux                  notifier_call_chain
2        2.0e-04  vmlinux                  perf_event_task_sched_out
2        2.0e-04  vmlinux                  pick_next_task
2        2.0e-04  vmlinux                  place_entity
2        2.0e-04  vmlinux                  put_prev_task_fair
2        2.0e-04  vmlinux                  rcu_exit_nohz
2        2.0e-04  vmlinux                  rcu_note_context_switch
2        2.0e-04  vmlinux                  refresh_cpu_vm_stats
2        2.0e-04  vmlinux                  run_rebalance_domains
2        2.0e-04  vmlinux                  select_task_rq
2        2.0e-04  vmlinux                  set_tsk_need_resched
2        2.0e-04  vmlinux                  should_resched
2        2.0e-04  vmlinux                  source_load
2        2.0e-04  vmlinux                  tag_get
2        2.0e-04  vmlinux                  target_load
2        2.0e-04  vmlinux                  tick_check_idle
2        2.0e-04  vmlinux                  trace_power_start.clone.5
2        2.0e-04  vmlinux                  try_to_wake_up
2        2.0e-04  vmlinux                  vma_adjust
2        2.0e-04  vmlinux                  worker_clr_flags
2        2.0e-04  vmlinux                  xennet_alloc_rx_buffers
2        2.0e-04  xen-syms                 check_descriptor
2        2.0e-04  xen-syms                 check_wakeup_from_wait
2        2.0e-04  xen-syms                 context_switch
2        2.0e-04  xen-syms                 do_dbs_timer
2        2.0e-04  xen-syms                 flush_area_local
2        2.0e-04  xen-syms                 get_cpu_idle_time
2        2.0e-04  xen-syms                 ptwr_emulated_read
2        2.0e-04  xen-syms                 put_page
2        2.0e-04  xen-syms                 switch_to_kernel
1        1.0e-04  oprofile                 event_buffer_read
1        1.0e-04  oprofile                 munmap_notify
1        1.0e-04  oprofile                 wq_sync_buffer
1        1.0e-04  vmlinux                  ____nf_conntrack_find
1        1.0e-04  vmlinux                  __call_rcu
1        1.0e-04  vmlinux                  __cond_resched
1        1.0e-04  vmlinux                  __ext4_ext_check
1        1.0e-04  vmlinux                  __ext4_get_inode_loc
1        1.0e-04  vmlinux                  __generic_file_aio_write
1        1.0e-04  vmlinux                  __hrtimer_start_range_ns
1        1.0e-04  vmlinux                  __kmalloc
1        1.0e-04  vmlinux                  __mutex_init
1        1.0e-04  vmlinux                  __mutex_lock_common.clone.5
1        1.0e-04  vmlinux                  __napi_schedule
1        1.0e-04  vmlinux                  __nf_ct_ext_add
1        1.0e-04  vmlinux                  __nf_ct_l3proto_find
1        1.0e-04  vmlinux                  __nf_ct_try_assign_helper
1        1.0e-04  vmlinux                  __nla_reserve
1        1.0e-04  vmlinux                  __queue_work
1        1.0e-04  vmlinux                  __raw_callee_save_xen_pgd_val
1        1.0e-04  vmlinux                  __raw_callee_save_xen_pmd_val
1        1.0e-04  vmlinux                  __raw_callee_save_xen_pud_val
1        1.0e-04  vmlinux                  __skb_dequeue
1        1.0e-04  vmlinux                  __srcu_read_lock
1        1.0e-04  vmlinux                  __unlazy_fpu
1        1.0e-04  vmlinux                  __virt_addr_valid
1        1.0e-04  vmlinux                  __wake_up_common
1        1.0e-04  vmlinux                  _local_bh_enable_ip.clone.8
1        1.0e-04  vmlinux                  _raw_read_lock_bh
1        1.0e-04  vmlinux                  _raw_spin_lock_bh
1        1.0e-04  vmlinux                  _raw_spin_unlock_bh
1        1.0e-04  vmlinux                  activate_task
1        1.0e-04  vmlinux                  anon_vma_prepare
1        1.0e-04  vmlinux                  arbitrary_virt_to_machine
1        1.0e-04  vmlinux                  arch_local_irq_enable
1        1.0e-04  vmlinux                  arch_local_irq_restore
1        1.0e-04  vmlinux                  arch_local_irq_restore
